sat_patente_01|c_Aduana_43|000011|2008|2017-01-01|247
sat_patente_02|c_Aduana_44|004447|2007|2017-01-01|273
sat_patente_03|c_Aduana_44|003556|2008|2017-01-01|273
sat_patente_04|c_Aduana_44|004506|2009|2017-01-01|273
sat_patente_05|c_Aduana_44|004413|2010|2017-01-01|273
sat_patente_06|c_Aduana_44|004380|2011|2017-01-01|273
sat_patente_07|c_Aduana_43|000033|2007|2017-01-01|323
sat_patente_08|c_Aduana_43|000047|2008|2017-01-01|323
sat_patente_09|c_Aduana_43|000048|2009|2017-01-01|323
sat_patente_10|c_Aduana_43|000065|2010|2017-01-01|323
sat_patente_11|c_Aduana_43|000125|2011|2017-01-01|323
sat_patente_12|c_Aduana_43|000212|2012|2017-01-01|323
sat_patente_13|c_Aduana_43|000388|2013|2017-01-01|323
sat_patente_14|c_Aduana_43|000291|2014|2017-01-01|323
sat_patente_15|c_Aduana_43|500673|2015|2017-01-01|323
sat_patente_16|c_Aduana_43|600492|2016|2017-01-01|323
sat_patente_17|c_Aduana_43|999999|2017|2017-01-01|323
sat_patente_18|c_Aduana_47|003236|2007|2017-01-01|327
sat_patente_19|c_Aduana_47|004114|2008|2017-01-01|327
sat_patente_20|c_Aduana_47|000411|2009|2017-01-01|327
sat_patente_21|c_Aduana_47|001545|2010|2017-01-01|327
sat_patente_22|c_Aduana_47|006123|2011|2017-01-01|327
sat_patente_23|c_Aduana_47|008583|2012|2017-01-01|327
sat_patente_24|c_Aduana_47|300093|2013|2017-01-01|327
sat_patente_25|c_Aduana_30|010324|2007|2017-01-01|334
sat_patente_26|c_Aduana_30|004664|2008|2017-01-01|334
sat_patente_27|c_Aduana_28|005221|2007|2017-01-01|348
sat_patente_28|c_Aduana_28|004000|2008|2017-01-01|348
sat_patente_29|c_Aduana_28|004076|2009|2017-01-01|348
sat_patente_30|c_Aduana_28|002527|2010|2017-01-01|348
sat_patente_31|c_Aduana_28|004226|2011|2017-01-01|348
sat_patente_32|c_Aduana_28|002301|2012|2017-01-01|348
sat_patente_33|c_Aduana_28|001598|2013|2017-01-01|348
sat_patente_34|c_Aduana_28|001526|2014|2017-01-01|348
sat_patente_35|c_Aduana_28|001446|2015|2017-01-01|348
sat_patente_36|c_Aduana_28|001005|2016|2017-01-01|348
sat_patente_37|c_Aduana_28|999999|2017|2017-01-01|348
sat_patente_38|c_Aduana_43|000406|2007|2017-01-01|361
sat_patente_39|c_Aduana_24|002966|2007|2017-01-01|407
sat_patente_40|c_Aduana_24|003797|2008|2017-01-01|407
sat_patente_41|c_Aduana_24|004104|2009|2017-01-01|407
sat_patente_42|c_Aduana_24|004531|2010|2017-01-01|407
sat_patente_43|c_Aduana_24|005133|2011|2017-01-01|407
sat_patente_44|c_Aduana_24|004669|2012|2017-01-01|407
sat_patente_45|c_Aduana_24|003986|2013|2017-01-01|407
sat_patente_46|c_Aduana_24|004866|2014|2017-01-01|407
sat_patente_47|c_Aduana_24|004356|2015|2017-01-01|407
sat_patente_48|c_Aduana_24|003770|2016|2017-01-01|407
sat_patente_49|c_Aduana_24|999999|2017|2017-01-01|407
sat_patente_50|c_Aduana_30|007234|2007|2017-01-01|419
sat_patente_51|c_Aduana_30|111111|2008|2017-01-01|419
sat_patente_52|c_Aduana_30|080051|2009|2017-01-01|419
sat_patente_53|c_Aduana_30|000950|2010|2017-01-01|419
sat_patente_54|c_Aduana_30|001035|2011|2017-01-01|419
sat_patente_55|c_Aduana_07|023105|2007|2017-01-01|428
sat_patente_56|c_Aduana_07|018279|2008|2017-01-01|428
sat_patente_57|c_Aduana_07|009838|2009|2017-01-01|428
sat_patente_58|c_Aduana_07|009785|2010|2017-01-01|428
sat_patente_59|c_Aduana_07|008712|2011|2017-01-01|428
sat_patente_60|c_Aduana_07|000958|2012|2017-01-01|428
sat_patente_61|c_Aduana_19|005234|2007|2017-01-01|441
